anchor	endpoint	alpha	beta	relation	n	direct	closed	formula_match	sign	cone_ok
left	x=1	0	0	alpha_eq_beta	46	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	47	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	47	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	48	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	48	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	49	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	49	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	50	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	50	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	51	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	51	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	52	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	52	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	53	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	53	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	54	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	54	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	55	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	55	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	56	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	56	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	57	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	57	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	58	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	58	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	59	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	59	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	60	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	60	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	61	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	61	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	62	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	62	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	63	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	63	0	0	true	zero	true
right	x=0	0	0	alpha_eq_beta	64	0	0	true	zero	true
left	x=1	0	0	alpha_eq_beta	64	0	0	true	zero	true
right	x=0	0	1/3	beta_gt_alpha	1	2/9	2/9	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	1	-9/112	-9/112	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	2	28/243	28/243	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	2	-81/3920	-81/3920	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	3	490/6561	490/6561	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	3	-2187/254800	-2187/254800	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	4	3185/59049	3185/59049	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	4	-59049/13249600	-59049/13249600	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	5	66248/1594323	66248/1594323	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	5	-531441/201393920	-531441/201393920	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	6	1438528/43046721	1438528/43046721	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	6	-14348907/8418265856	-14348907/8418265856	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	7	10737584/387420489	10737584/387420489	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	7	-387420489/330717587200	-387420489/330717587200	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	8	738208900/31381059609	738208900/31381059609	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	8	-3486784401/4133969840000	-3486784401/4133969840000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	9	51674623000/2541865828329	51674623000/2541865828329	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	9	-282429536481/448535727640000	-282429536481/448535727640000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	10	407759752400/22876792454961	407759752400/22876792454961	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	10	-22876792454961/47275665693256000	-22876792454961/47275665693256000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	11	9767699523400/617673396283947	9767699523400/617673396283947	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	11	-205891132094649/540661704019236800	-205891132094649/540661704019236800	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	12	236303192316100/16677181699666569	236303192316100/16677181699666569	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	12	-5559060566555523/18185893680647056000	-5559060566555523/18185893680647056000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	13	1921586399054000/150094635296999121	1921586399054000/150094635296999121	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	13	-150094635296999121/601533406359864160000	-150094635296999121/601533406359864160000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	14	47216122948184000/4052555153018976267	47216122948184000/4052555153018976267	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	14	-1350851717672992089/6537544383405556640000	-1350851717672992089/6537544383405556640000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	15	1167418639893849400/109418989131512359209	1167418639893849400/109418989131512359209	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	15	-36472996377170786403/210508929145658923808000	-36472996377170786403/210508929145658923808000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	16	9674123582061531425/984770902183611232881	9674123582061531425/984770902183611232881	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	16	-984770902183611232881/6704709393289236723284800	-984770902183611232881/6704709393289236723284800	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	17	724990202561552413850/79766443076872509863361	724990202561552413850/79766443076872509863361	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	17	-8862938119652501095929/70498047297085356722774000	-8862938119652501095929/70498047297085356722774000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	18	54565052087527365884500/6461081889226673298932241	54565052087527365884500/6461081889226673298932241	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	18	-717897987691852588770249/6614375614050067292519090000	-717897987691852588770249/6614375614050067292519090000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	19	458059253050558676767250/58149737003040059690390169	458059253050558676767250/58149737003040059690390169	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	19	-58149737003040059690390169/615833182171293107392961590000	-58149737003040059690390169/615833182171293107392961590000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	20	11575811694949118560018075/1570042899082081611640534563	11575811694949118560018075/1570042899082081611640534563	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	20	-523347633027360537213511521/6326875639991390240163479072000	-523347633027360537213511521/6326875639991390240163479072000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	21	293454343227801031547471200/42391158275216203514294433201	293454343227801031547471200/42391158275216203514294433201	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	21	-14130386091738734504764811067/193783162459164866784435701862400	-14130386091738734504764811067/193783162459164866784435701862400	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	22	2486822576602392931374617600/381520424476945831628649898809	2486822576602392931374617600/381520424476945831628649898809	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	22	-381520424476945831628649898809/5901578129438202761162360011264000	-381520424476945831628649898809/5901578129438202761162360011264000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	23	63386945023180558957320416000/10301051460877537453973547267843	63386945023180558957320416000/10301051460877537453973547267843	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	23	-3433683820292512484657849089281/59598941188595288754030947939840000	-3433683820292512484657849089281/59598941188595288754030947939840000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	24	1619536445342263281359536628800/278128389443693511257285776231761	1619536445342263281359536628800/278128389443693511257285776231761	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	24	-92709463147897837085761925410587/1797037639751775336996541843316480000	-92709463147897837085761925410587/1797037639751775336996541843316480000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	25	13823366459629041053819552640896/2503155504993241601315571986085849	13823366459629041053819552640896/2503155504993241601315571986085849	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	25	-2503155504993241601315571986085849/53947069945348295616636186136360729600	-2503155504993241601315571986085849/53947069945348295616636186136360729600	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	26	3192134316292798557197407463689984/608266787713357709119683992618861307	3192134316292798557197407463689984/608266787713357709119683992618861307	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	26	-22528399544939174411840147874772641/537644798624563475391644944294376625152	-22528399544939174411840147874772641/537644798624563475391644944294376625152	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	27	738523075033741037625885912492275584/147808829414345923316083210206383297601	738523075033741037625885912492275584/147808829414345923316083210206383297601	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	27	-5474401089420219382077155933569751763/144130163323584900903067894681992502973440	-5474401089420219382077155933569751763/144130163323584900903067894681992502973440	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	28	6339292897764993882084267007476799040/1330279464729113309844748891857449678409	6339292897764993882084267007476799040/1330279464729113309844748891857449678409	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	28	-1330279464729113309844748891857449678409/38503343630729109241248137579332282937190400	-1330279464729113309844748891857449678409/38503343630729109241248137579332282937190400	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	29	163510037500972945648242473158367092480/35917545547686059365808220080151141317043	163510037500972945648242473158367092480/35917545547686059365808220080151141317043	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	29	-11972515182562019788602740026717047105681/379722630289259491137826460265139066208153600	-11972515182562019788602740026717047105681/379722630289259491137826460265139066208153600	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	30	4223833484863843060487502338878076376064/969773729787523602876821942164080815560161	4223833484863843060487502338878076376064/969773729787523602876821942164080815560161	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	30	-323257909929174534292273980721360271853387/11200508205152847197217129452096550249463951360	-323257909929174534292273980721360271853387/11200508205152847197217129452096550249463951360	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	31	36422048013634388648598886095527283589568/8727963568087712425891397479476727340041449	36422048013634388648598886095527283589568/8727963568087712425891397479476727340041449	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	31	-8727963568087712425891397479476727340041449/329439463918011808852341246271665629595523575808	-8727963568087712425891397479476727340041449/329439463918011808852341246271665629595523575808	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	32	943455209625904419596376827894936851618412/235655016338368235499067731945871638181119123	943455209625904419596376827894936851618412/235655016338368235499067731945871638181119123	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	32	-78551672112789411833022577315290546060373041/3221333467746688050269869041164472386165905932800	-78551672112789411833022577315290546060373041/3221333467746688050269869041164472386165905932800	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	33	24469292869976665428034372274280447755878600/6362685441135942358474828762538534230890216321	24469292869976665428034372274280447755878600/6362685441135942358474828762538534230890216321	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	33	-2120895147045314119491609587512844743630072107/94260609993724110561874008874983140845195542920000	-2120895147045314119491609587512844743630072107/94260609993724110561874008874983140845195542920000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	34	211793039126688784797272297836208917550882000/57264168970223481226273458862846808078011946889	211793039126688784797272297836208917550882000/57264168970223481226273458862846808078011946889	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	34	-57264168970223481226273458862846808078011946889/2751704117410373901375776547853117464566430314440000	-57264168970223481226273458862846808078011946889/2751704117410373901375776547853117464566430314440000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	35	16516831437037058231547278198398064013003783400/4638397686588101979328150167890591454318967698009	16516831437037058231547278198398064013003783400/4638397686588101979328150167890591454318967698009	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	35	-515377520732011331036461129765621272702107522001/26716965859293663913021615322600772424874399876504000	-515377520732011331036461129765621272702107522001/26716965859293663913021615322600772424874399876504000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	36	1289428854213014667616873326380346159501660225700/375710212613636260325580163599137907799836383538729	1289428854213014667616873326380346159501660225700/375710212613636260325580163599137907799836383538729	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	36	-41745579179292917813953351511015323088870709282081/2329719422930407493215484856130787355449047669231148800	-41745579179292917813953351511015323088870709282081/2329719422930407493215484856130787355449047669231148800	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	37	11195837448245009290374672523791796525744145117600/3381391913522726342930221472392241170198527451848561	11195837448245009290374672523791796525744145117600/3381391913522726342930221472392241170198527451848561	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	37	-3381391913522726342930221472392241170198527451848561/202748555184754381841996249641652304987727932295251328000	-3381391913522726342930221472392241170198527451848561/202748555184754381841996249641652304987727932295251328000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	38	291907664642501456801671623697243601723855443552000/91297581665113611259115979754590511595360241199911147	291907664642501456801671623697243601723855443552000/91297581665113611259115979754590511595360241199911147	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	38	-30432527221704537086371993251530170531786747066637049/1956826382544179915786549863184368263644002874286316160000	-30432527221704537086371993251530170531786747066637049/1956826382544179915786549863184368263644002874286316160000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	39	7617667325382201478459007564560760914216766094232000/2465034704958067503996131453373943813074726512397600969	7617667325382201478459007564560760914216766094232000/2465034704958067503996131453373943813074726512397600969	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	39	-821678234986022501332043817791314604358242170799200323/56557828117339677808907609203535243053257232872591137920000	-821678234986022501332043817791314604358242170799200323/56557828117339677808907609203535243053257232872591137920000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	40	66320154921833580920388847565121063617796942861856400/22185312344622607535965183080365494317672538611578408721	66320154921833580920388847565121063617796942861856400/22185312344622607535965183080365494317672538611578408721	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	40	-22185312344622607535965183080365494317672538611578408721/1631910871293393318932403400942005359175137542346841217984000	-22185312344622607535965183080365494317672538611578408721/1631910871293393318932403400942005359175137542346841217984000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	41	1733567255134479177925983046806753377215026708535354400/599003433304810403471059943169868346577158542512617035467	1733567255134479177925983046806753377215026708535354400/599003433304810403471059943169868346577158542512617035467	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	41	-199667811101603467823686647723289448859052847504205678489/15670324634834364625943590706118719753835406107852472866348800	-199667811101603467823686647723289448859052847504205678489/15670324634834364625943590706118719753835406107852472866348800	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	42	45349197896773717764083689403841781037179801671120865600/16173092699229880893718618465586445357583280647840659957609	45349197896773717764083689403841781037179801671120865600/16173092699229880893718618465586445357583280647840659957609	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	42	-5391030899743293631239539488528815119194426882613553319203/450726584879991916331583070658571538564150792405303705615712000	-5391030899743293631239539488528815119194426882613553319203/450726584879991916331583070658571538564150792405303705615712000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	43	395726880166878477951914224131832877866722265111102268000/145557834293068928043467566190278008218249525830565939618481	395726880166878477951914224131832877866722265111102268000/145557834293068928043467566190278008218249525830565939618481	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	43	-145557834293068928043467566190278008218249525830565939618481/12945286798297442248128025401472926747133168107454652940358240000	-145557834293068928043467566190278008218249525830565939618481/12945286798297442248128025401472926747133168107454652940358240000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	44	31100535264024222199039076978360865719616490744413446426000/11790184577738583171520872861412518665678211592275841109096961	31100535264024222199039076978360865719616490744413446426000/11790184577738583171520872861412518665678211592275841109096961	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	44	-1310020508637620352391208095712502073964245732475093456566329/123760226008247428849968141364610094610013078608689092169767360000	-1310020508637620352391208095712502073964245732475093456566329/123760226008247428849968141364610094610013078608689092169767360000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	45	2445854268937696222331386192976484083201839498195436604145600/955004950796825236893190701774414011919935138974343129836853841	2445854268937696222331386192976484083201839498195436604145600/955004950796825236893190701774414011919935138974343129836853841	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	45	-106111661199647248543687855752712667991103904330482569981872649/10634378692999588158999080656166314675034941990993902719896737152000	-106111661199647248543687855752712667991103904330482569981872649/10634378692999588158999080656166314675034941990993902719896737152000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	46	21385952405179560308488679274758304860706555908365649197395200/8595044557171427132038716315969726107279416250769088168531684569	21385952405179560308488679274758304860706555908365649197395200/8595044557171427132038716315969726107279416250769088168531684569	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	46	-8595044557171427132038716315969726107279416250769088168531684569/912614637575764656879668930397437908938433413122772399501399121331200	-8595044557171427132038716315969726107279416250769088168531684569/912614637575764656879668930397437908938433413122772399501399121331200	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	47	561324373102970959267220148304759868804023936860799446619928800/232066203043628532565045340531182604896544238770765380550355483363	561324373102970959267220148304759868804023936860799446619928800/232066203043628532565045340531182604896544238770765380550355483363	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	47	-77355401014542844188348446843727534965514746256921793516785161121/8691366969327009382586671265903444285403489350692823175640059161984000	-77355401014542844188348446843727534965514746256921793516785161121/8691366969327009382586671265903444285403489350692823175640059161984000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	48	14741924543609913330755182211218119513615883749953903834061650500/6265787482177970379256224194341930332206694446810665274859598050801	14741924543609913330755182211218119513615883749953903834061650500/6265787482177970379256224194341930332206694446810665274859598050801	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	48	-2088595827392656793085408064780643444068898148936888424953199350267/248027573353401092221156868838148822293562342374824448602707007468320000	-2088595827392656793085408064780643444068898148936888424953199350267/248027573353401092221156868838148822293562342374824448602707007468320000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	49	129127224777905608195104575613363610107019128683269704603658375400/56392087339601733413306017749077372989860250021295987473736382457209	129127224777905608195104575613363610107019128683269704603658375400/56392087339601733413306017749077372989860250021295987473736382457209	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	49	-56392087339601733413306017749077372989860250021295987473736382457209/7070051287374754603263282786728252398745575545143592828282265564926040000	-56392087339601733413306017749077372989860250021295987473736382457209/7070051287374754603263282786728252398745575545143592828282265564926040000	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	50	3394982610984275919934349477420529363143133515074954539391243968752/1522586358169246802159262479225089070726226750574991661790882326344643	3394982610984275919934349477420529363143133515074954539391243968752/1522586358169246802159262479225089070726226750574991661790882326344643	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	50	-507528786056415600719754159741696356908742250191663887263627442114881/67104886790454099405830358335746441338950862745620043930153389161955156800	-507528786056415600719754159741696356908742250191663887263627442114881/67104886790454099405830358335746441338950862745620043930153389161955156800	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	51	89306476963606733305603351524815599333179215791349539433262429015112/41109831670569663658300086939077404909608122265524774868353822811305361	89306476963606733305603351524815599333179215791349539433262429015112/41109831670569663658300086939077404909608122265524774868353822811305361	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	51	-13703277223523221219433362313025801636536040755174924956117940937101787/1908778768023057900510784004519620539639004658192472261344998403715002095424	-13703277223523221219433362313025801636536040755174924956117940937101787/1908778768023057900510784004519620539639004658192472261344998403715002095424	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	52	783473149501481711851552189102681988634835660160830611181937231033156/369988485035126972924700782451696644186473100389722973815184405301748249	783473149501481711851552189102681988634835660160830611181937231033156/369988485035126972924700782451696644186473100389722973815184405301748249	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	52	-369988485035126972924700782451696644186473100389722973815184405301748249/54240410240655219978315491169154828004221489834609619010165565499231733752320	-369988485035126972924700782451696644186473100389722973815184405301748249/54240410240655219978315491169154828004221489834609619010165565499231733752320	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	53	185668353919596420770858405568484637306670488521132688234813804184461120/89907201863535854420702290135762284537312963394702682637089810488324824507	185668353919596420770858405568484637306670488521132688234813804184461120/89907201863535854420702290135762284537312963394702682637089810488324824507	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	53	-3329896365316142756322307042065269797678257903507506764336659647715734241/513276451043645913292622645025964410141544432106900893971378065391859077017600	-3329896365316142756322307042065269797678257903507506764336659647715734241/513276451043645913292622645025964410141544432106900893971378065391859077017600	true	negative	false
right	x=0	0	1/3	beta_gt_alpha	54	44020278820209769579127156520237084917799694005737640992399491028461327360/21847450052839212624230656502990235142567050104912751880812823948662932355201	44020278820209769579127156520237084917799694005737640992399491028461327360/21847450052839212624230656502990235142567050104912751880812823948662932355201	true	positive	true
left	x=1	0	1/3	beta_gt_alpha	54	-809164816771822689786320611221860560835816670552324143733808294394923420563/131021077474895953979922486123703254807640653244797399896957997107291725527756800	-809164816771822689786320611221860560835816670552324143733808294394923420563/131021077474895953979922486123703254807640653244797399896957997107291725527756800	true	negative	false
